question_id,level,section,subsection,question_number,audio_file,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation
N5_GR_03_003,N5,言語知識（文法）・読解,もんだい3_文章の文法,24,,"【文章】
たなかさんは毎日日本語を勉強しています。
たなかさんは朝、家で30分勉強します。（22）、学校でも勉強します。
たなかさんの学校は9時（23）始まります。
学校では先生の話を（24）ながらノートを書きます。
たなかさんは日本語が（25）なりました。
来年は日本（26）行きたいと思っています。

（24）に入るものは何ですか。",きき,きく,きいた,きいて,A,（24）には「きき」が入ります。
N5_GR_03_004,N5,言語知識（文法）・読解,もんだい3_文章の文法,25,,"【文章】
たなかさんは毎日日本語を勉強しています。
たなかさんは朝、家で30分勉強します。（22）、学校でも勉強します。
たなかさんの学校は9時（23）始まります。
学校では先生の話を（24）ながらノートを書きます。
たなかさんは日本語が（25）なりました。
来年は日本（26）行きたいと思っています。

（25）に入るものは何ですか。",じょうずの,じょうずに,じょうずで,じょうずな,B,（25）には「じょうずに」が入ります。
N5_GR_03_005,N5,言語知識（文法）・読解,もんだい3_文章の文法,26,,"【文章】
たなかさんは毎日日本語を勉強しています。
たなかさんは朝、家で30分勉強します。（22）、学校でも勉強します。
たなかさんの学校は9時（23）始まります。
学校では先生の話を（24）ながらノートを書きます。
たなかさんは日本語が（25）なりました。
来年は日本（26）行きたいと思っています。

（26）に入るものは何ですか。",に,が,で,を,A,（26）には「に」が入ります。
N5_GR_04_001,N5,言語知識（文法）・読解,もんだい4_内容理解（短文）,27,,"【文章】
わたしは毎日7時に起きます。朝ごはんを食べてから、8時に家を出ます。会社まで電車で30分かかります。会社は9時から始まります。

【質問】この人は何時に会社に着きますか。",8時30分ごろ,7時ごろ,9時ごろ,9時30分ごろ,A,文章から「8時30分ごろ」がわかります。
N5_GR_04_002,N5,言語知識（文法）・読解,もんだい4_内容理解（短文）,28,,"【文章】
きのうデパートへ行きました。くつと帽子を買いました。くつは5000円で、帽子は2000円でした。

【質問】ぜんぶでいくらでしたか。",5000円,2000円,3000円,7000円,D,文章から「7000円」がわかります。
N5_GR_04_003,N5,言語知識（文法）・読解,もんだい4_内容理解（短文）,29,,"【文章】
わたしの家族は4人です。父と母と姉とわたしです。姉は大学生で、わたしは高校生です。

【質問】この人のお姉さんは何をしていますか。",会社で働いています。,家にいます。,高校で勉強しています。,大学で勉強しています。,D,文章から「大学で勉強しています。」がわかります。
N5_GR_05_001,N5,言語知識（文法）・読解,もんだい5_内容理解（中文）,30,,"【文章】
わたしは先週の土曜日、友達と山に行きました。朝6時に起きて、7時に家を出ました。山まで電車とバスで2時間かかりました。山はとてもきれいでした。たくさん写真を撮りました。お昼はおにぎりを食べました。とても楽しかったです。でも、足がとても疲れました。夜9時に家に帰りました。日曜日はどこも行きませんでした。

【質問】この人は日曜日に何をしましたか。",友達に会いました。,家にいました。,買い物に行きました。,山に行きました。,B,文章から「家にいました。」がわかります。
N5_GR_05_002,N5,言語知識（文法）・読解,もんだい5_内容理解（中文）,31,,"【文章】
わたしは田中です。会社員です。毎日電車で会社に行きます。会社では英語と中国語を使います。でも日本語が一番よく使います。来月からフランス語も勉強したいです。土曜日と日曜日はいつも家族と過ごします。

【質問】田中さんが今一番よく使う言葉は何ですか。",英語,中国語,フランス語,日本語,D,文章から「日本語」がわかります。
N5_GR_06_001,N5,言語知識（文法）・読解,もんだい6_情報検索,32,,"【お知らせ】
【みなみ図書館のお知らせ】
開館時間：月曜日〜金曜日　9:00〜20:00
　　　　　土曜日・日曜日　10:00〜18:00
休館日：毎月第3月曜日、年末年始（12/29〜1/3）
本の貸し出し：1人10冊まで、2週間
※日曜日は子ども向けの読み聞かせイベントがあります（14:00〜15:00）

【質問】やまださんは土曜日に図書館に行きたいです。何時から何時まで開いていますか。",9時から20時まで,9時から18時まで,10時から20時まで,10時から18時まで,D,土曜日の開館時間は10:00〜18:00です。
N5_LC_01_001,N5,聴解,もんだい1_課題理解,1,n5_001.mp3,"【スクリプト】
男の人と女の人が話しています。男の人は何を買いますか。

男：今日の晩ご飯は何にする？
女：カレーを作りたいんだけど。
男：じゃ、買い物に行こう。何が必要？
女：にんじんと玉ねぎはあるから、じゃがいもと肉を買ってきて。
男：わかった。

男の人は何を買いますか。",にんじんと肉,カレーのルー,じゃがいもと肉,にんじんと玉ねぎ,C,女の人が「じゃがいもと肉を買ってきて」と言っているので、男の人は「じゃがいもと肉」を買います。
N5_LC_01_002,N5,聴解,もんだい1_課題理解,2,n5_002.mp3,"【スクリプト】
電話で女の人と男の人が話しています。男の人は何時に来ますか。

女：もしもし、田中さん？今どこですか。
男：すみません、まだ駅です。電車が遅れて。
女：何時ごろ着きますか。
男：あと20分ぐらいで着くと思います。今、2時40分ですから。

男の人は何時ごろ来ますか。",2時40分ごろ,3時20分ごろ,3時ごろ,2時20分ごろ,C,会話から「3時ごろ」がわかります。
N5_LC_01_003,N5,聴解,もんだい1_課題理解,3,n5_003.mp3,"【スクリプト】
学校で先生が話しています。学生は明日、何を持ってきますか。

先生：明日は料理の授業です。エプロンを持ってきてください。それから、ノートも持ってきてください。教科書は使いませんから、持ってこなくていいです。

学生は明日、何を持ってきますか。",エプロンとノート,エプロンと教科書,エプロンだけ,ノートと教科書,A,会話から「エプロンとノート」がわかります。
N5_LC_01_004,N5,聴解,もんだい1_課題理解,4,n5_004.mp3,"【スクリプト】
女の人と男の人が話しています。女の人のかばんはどれですか。

男：それ、新しいかばんですね。
女：ええ、先週買いました。
男：大きいですね。
女：でも、軽いんですよ。色も好きです。黒が好きですから。

女の人のかばんはどれですか。",小さくて白いかばん,大きくて黒いかばん,大きくて白いかばん,小さくて黒いかばん,B,会話から「大きくて黒いかばん」がわかります。
N5_LC_01_005,N5,聴解,もんだい1_課題理解,5,n5_005.mp3,"【スクリプト】
お店で男の人と店の人が話しています。男の人はいくら払いますか。

男：すみません、このパンを3つください。
店の人：1つ120円ですから、360円です。
男：あ、飲み物も。このお茶もください。
店の人：お茶は150円です。全部で510円になります。

男の人はいくら払いますか。",150円,360円,510円,270円,C,会話から「510円」がわかります。
N5_LC_01_006,N5,聴解,もんだい1_課題理解,6,n5_006.mp3,"【スクリプト】
女の人と男の人が話しています。二人はどこで会いますか。

女：明日、映画を見に行きませんか。
男：いいですね。どこで会いましょうか。
女：駅の改札口はどうですか。
男：駅は人が多いから、映画館の前がいいです。
女：わかりました。じゃ、映画館の前で。

二人はどこで会いますか。",駅の改札口,駅の中,映画館の前,女の人の家,C,会話から「映画館の前」がわかります。
N5_LC_01_007,N5,聴解,もんだい1_課題理解,7,n5_007.mp3,"【スクリプト】
学校で先生が話しています。宿題はどこに出しますか。

先生：今日の宿題は、教科書の25ページです。明日、教室の前にある箱に入れてください。私の机の上に置かないでください。

宿題はどこに出しますか。",先生に直接,先生の机の上,自分の机の中,教室の前の箱,D,会話から「教室の前の箱」がわかります。
N5_LC_02_001,N5,聴解,もんだい2_ポイント理解,8,n5_008.mp3,"【スクリプト】
女の人と男の人が話しています。女の人はどうして遅れましたか。

女：すみません、遅れました。
男：どうしましたか。
女：バスが来なくて、歩いてきました。
男：大変でしたね。

女の人はどうして遅れましたか。",バスが来なかったから,起きるのが遅かったから,電車が止まったから,道がわからなかったから,A,会話から「バスが来なかったから」がわかります。
N5_LC_02_002,N5,聴解,もんだい2_ポイント理解,9,n5_009.mp3,"【スクリプト】
男の人と女の人が話しています。男の人の趣味は何ですか。

女：趣味は何ですか。
男：読書です。毎日、寝る前に本を読みます。
女：どんな本が好きですか。
男：小説が好きです。

男の人の趣味は何ですか。",テレビを見ること,本を読むこと,音楽を聞くこと,映画を見ること,B,会話から「本を読むこと」がわかります。
N5_LC_02_003,N5,聴解,もんだい2_ポイント理解,10,n5_010.mp3,"【スクリプト】
女の人と男の人が話しています。女の人はいつ日本に来ましたか。

男：日本語が上手ですね。
女：ありがとうございます。3年前に日本に来ました。
男：どこで勉強しましたか。
女：日本語学校で2年勉強しました。

女の人はいつ日本に来ましたか。",去年,2年前,5年前,3年前,D,会話から「3年前」がわかります。
N5_LC_02_004,N5,聴解,もんだい2_ポイント理解,11,n5_011.mp3,"【スクリプト】
男の人と女の人が話しています。男の人は週末、何をしますか。

女：週末は何をしますか。
男：土曜日はテニスをします。日曜日は家で映画を見ます。
女：日曜日、一緒に買い物に行きませんか。
男：いいですね。午後は大丈夫です。

男の人は日曜日の午前中、何をしますか。",テニスをする,勉強する,家で映画を見る,買い物に行く,C,会話から「家で映画を見る」がわかります。
N5_LC_02_005,N5,聴解,もんだい2_ポイント理解,12,n5_012.mp3,"【スクリプト】
女の人と男の人が話しています。男の人の兄は何人ですか。

女：ご家族は何人ですか。
男：5人です。両親と兄が2人います。
女：にぎやかですね。
男：はい、いつもうるさいです。

男の人の兄は何人ですか。",3人,4人,2人,1人,C,会話から「2人」がわかります。
N5_LC_02_006,N5,聴解,もんだい2_ポイント理解,13,n5_013.mp3,"【スクリプト】
男の人と女の人が話しています。女の人は明日、どこに行きますか。

男：明日はどこか行きますか。
女：午前中は病院に行きます。午後は図書館で勉強します。
男：大変ですね。
女：夜は友達とご飯を食べます。

女の人は午後、どこに行きますか。",レストラン,図書館,友達の家,病院,B,会話から「図書館」がわかります。
N5_LC_03_001,N5,聴解,もんだい3_発話表現,14,n5_014.mp3,【場面】友達の家に行きます。友達のお母さんにあいさつします。何と言いますか。,おじゃまします。,ただいま。,いってきます。,,A,この場面では「おじゃまします。」が適切です。
N5_LC_03_002,N5,聴解,もんだい3_発話表現,15,n5_015.mp3,【場面】レストランで食べ終わりました。お金を払いたいです。店の人に何と言いますか。,いただきます。,ごちそうさまでした。,お会計、お願いします。,,C,この場面では「お会計、お願いします。」が適切です。
N5_LC_03_003,N5,聴解,もんだい3_発話表現,16,n5_016.mp3,【場面】友達が風邪をひきました。何と言いますか。,いってらっしゃい。,お大事に。,おめでとう。,,B,この場面では「お大事に。」が適切です。
N5_LC_03_004,N5,聴解,もんだい3_発話表現,17,n5_017.mp3,【場面】先生に本を借りました。何と言いますか。,すみません。,ごめんなさい。,ありがとうございます。,,C,この場面では「ありがとうございます。」が適切です。
N5_LC_03_005,N5,聴解,もんだい3_発話表現,18,n5_018.mp3,【場面】道で人にぶつかりました。何と言いますか。,どういたしまして。,よろしくお願いします。,すみません。,,C,この場面では「すみません。」が適切です。
N5_LC_04_001,N5,聴解,もんだい4_即時応答,19,n5_019.mp3,【質問】女：お名前は何ですか。,学生です。,田中です。,東京です。,,B,「女：お名前は何ですか。」への適切な応答は「田中です。」です。
N5_LC_04_002,N5,聴解,もんだい4_即時応答,20,n5_020.mp3,【質問】男：これはいくらですか。,500円です。,5個です。,5時です。,,A,「男：これはいくらですか。」への適切な応答は「500円です。」です。
N5_LC_04_003,N5,聴解,もんだい4_即時応答,21,n5_021.mp3,【質問】女：お仕事は何ですか。,東京に住んでいます。,日本人です。,会社員です。,,C,「女：お仕事は何ですか。」への適切な応答は「会社員です。」です。
N5_LC_04_004,N5,聴解,もんだい4_即時応答,22,n5_022.mp3,【質問】男：コーヒーはいかがですか。,はい、コーヒーです。,はい、飲みました。,はい、お願いします。,,C,「男：コーヒーはいかがですか。」への適切な応答は「はい、お願いします。」です。
N5_LC_04_005,N5,聴解,もんだい4_即時応答,23,n5_023.mp3,【質問】女：週末は何をしましたか。,友達と買い物に行きたいです。,友達と買い物に行きました。,友達と買い物に行きます。,,B,「女：週末は何をしましたか。」への適切な応答は「友達と買い物に行きました。」です。
N5_LC_04_006,N5,聴解,もんだい4_即時応答,24,n5_024.mp3,【質問】男：日本語は難しいですか。,少し難しいです。,少し難しいでした。,少し難しかったです。,,A,「男：日本語は難しいですか。」への適切な応答は「少し難しいです。」です。
